income,derived_consumption,year_2018,year_2019,year_2020,year_2021,year_2022,WfhCor_1,treatment_1,did_effect
1973.05,392.9859127,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2020.31,8.861714976,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1116.05,147.7009789,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1212.17,6.71026926,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1590.37,21.08042242,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1138.54,166.0093767,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
734.65,26.46240728,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
803.37,165.3242239,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
485.8,31.27599244,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1770.87,717.2349369,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1034.67,6.366790432,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
975.96,71.13397624,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
632.98,54.31538737,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1657.02,35.26097063,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
920.53,51.7537405,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
978.33,72.23034201,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1732.03,7.548187087,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
970.45,100.1254355,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
284.37,55.65274437,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
621.312,29.26775877,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1216.17,612.5517396,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931.67,14.14418043,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
679.04,91.17395437,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1787.978154,8.593343734,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
535.76,14.26223735,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1865.88,20.63549377,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
333.7,70.33197743,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
